model_key,mask_level_pct,hce
qwen2_vl_2b,0,0.3600
qwen2_vl_2b,25,0.3500
qwen2_vl_2b,50,0.4100
qwen2_vl_2b,75,0.4400
qwen2_vl_2b,100,0.1800
llava_1_6_7b,0,0.3400
llava_1_6_7b,25,0.3600
llava_1_6_7b,50,0.4100
llava_1_6_7b,75,0.4600
llava_1_6_7b,100,0.2200
qwen2_vl_7b,0,0.3600
qwen2_vl_7b,25,0.3700
qwen2_vl_7b,50,0.4500
qwen2_vl_7b,75,0.4700
qwen2_vl_7b,100,0.3000
gemini_1_5_flash,0,0.3400
gemini_1_5_flash,25,0.3700
gemini_1_5_flash,50,0.4700
gemini_1_5_flash,75,0.4800
gemini_1_5_flash,100,0.3700
internvl2_26b,0,0.3300
internvl2_26b,25,0.3700
internvl2_26b,50,0.4500
internvl2_26b,75,0.4700
internvl2_26b,100,0.3300
gpt_4o,0,0.3200
gpt_4o,25,0.3800
gpt_4o,50,0.4600
gpt_4o,75,0.4900
gpt_4o,100,0.4200
